scenario,seed,method,mae,coverage,gross_error_rate,apnea_false_output,step_latency
baseline_drift,28,threshold,0.04006523710645349,1.0,0.0,nan,nan
baseline_drift,28,consensus,0.02653773561614558,1.0,0.0,nan,nan
baseline_drift,28,hybrid,0.030603870205761746,1.0,0.0,nan,nan
baseline_drift,29,threshold,0.04726920756453112,1.0,0.0,nan,nan
baseline_drift,29,consensus,0.02792001157957208,1.0,0.0,nan,nan
baseline_drift,29,hybrid,0.03643606764913585,1.0,0.0,nan,nan
amplitude_change,0,threshold,0.09685709764103334,1.0,0.0,nan,nan
amplitude_change,0,consensus,0.039162639976824634,1.0,0.0,nan,nan
amplitude_change,0,hybrid,0.06910458869096425,1.0,0.0,nan,nan
amplitude_change,1,threshold,0.12030069613550258,1.0,0.0,nan,nan
amplitude_change,1,consensus,0.04180736729394905,0.9933333333333333,0.0,nan,nan
amplitude_change,1,hybrid,0.07703214091213581,1.0,0.0,nan,nan
amplitude_change,2,threshold,0.12701397534299594,1.0,0.0,nan,nan
amplitude_change,2,consensus,0.03963689165402518,0.9933333333333333,0.0,nan,nan
amplitude_change,2,hybrid,0.08392935050157452,1.0,0.0,nan,nan
amplitude_change,3,threshold,0.13897390486584515,1.0,0.0,nan,nan
amplitude_change,3,consensus,0.05170541835670312,1.0,0.0,nan,nan
amplitude_change,3,hybrid,0.09186786648591737,1.0,0.0,nan,nan
amplitude_change,4,threshold,0.11903213856825073,1.0,0.0,nan,nan
amplitude_change,4,consensus,0.02952049632806074,0.9933333333333333,0.0,nan,nan
amplitude_change,4,hybrid,0.07778497957999299,1.0,0.0,nan,nan
amplitude_change,5,threshold,0.11311579419636227,1.0,0.0,nan,nan
amplitude_change,5,consensus,0.046785961585773125,0.9933333333333333,0.0,nan,nan
amplitude_change,5,hybrid,0.08367683148377963,1.0,0.0,nan,nan
amplitude_change,6,threshold,0.09690252675753641,1.0,0.0,nan,nan
amplitude_change,6,consensus,0.035153917460043295,0.9866666666666667,0.0,nan,nan
amplitude_change,6,hybrid,0.06661535202664925,1.0,0.0,nan,nan
amplitude_change,7,threshold,0.16974663553512961,1.0,0.0,nan,nan
amplitude_change,7,consensus,0.03776043543116219,1.0,0.0,nan,nan
amplitude_change,7,hybrid,0.11050611828775696,1.0,0.0,nan,nan
amplitude_change,8,threshold,0.08507524505158315,1.0,0.0,nan,nan
amplitude_change,8,consensus,0.039559214683336126,1.0,0.0,nan,nan
amplitude_change,8,hybrid,0.06289752869787794,1.0,0.0,nan,nan
amplitude_change,9,threshold,0.08559167927428733,1.0,0.0,nan,nan
amplitude_change,9,consensus,0.030863251583059234,0.9933333333333333,0.0,nan,nan
amplitude_change,9,hybrid,0.06202578316027032,1.0,0.0,nan,nan
amplitude_change,10,threshold,0.12173425521504103,1.0,0.0,nan,nan
amplitude_change,10,consensus,0.053677312330311165,1.0,0.0,nan,nan
amplitude_change,10,hybrid,0.08731980783721961,1.0,0.0,nan,nan
amplitude_change,11,threshold,0.17106428161975323,1.0,0.0,nan,nan
amplitude_change,11,consensus,0.040923220142968404,0.9933333333333333,0.0,nan,nan
amplitude_change,11,hybrid,0.09641391323737004,1.0,0.0,nan,nan
amplitude_change,12,threshold,0.1263403704008622,1.0,0.0,nan,nan
amplitude_change,12,consensus,0.041047025437717585,0.9933333333333333,0.0,nan,nan
amplitude_change,12,hybrid,0.08569898908304734,1.0,0.0,nan,nan
amplitude_change,13,threshold,0.12195602553544865,1.0,0.0,nan,nan
amplitude_change,13,consensus,0.03986471958147011,1.0,0.0,nan,nan
amplitude_change,13,hybrid,0.08132559698312103,1.0,0.0,nan,nan
amplitude_change,14,threshold,0.1501361082877597,1.0,0.0,nan,nan
amplitude_change,14,consensus,0.039790868994788696,0.9933333333333333,0.0,nan,nan
amplitude_change,14,hybrid,0.08456566490355868,1.0,0.0,nan,nan
amplitude_change,15,threshold,0.11642034628088545,1.0,0.0,nan,nan
amplitude_change,15,consensus,0.0414160541226886,1.0,0.0,nan,nan
amplitude_change,15,hybrid,0.0769526651889375,1.0,0.0,nan,nan
amplitude_change,16,threshold,0.12903079258014816,1.0,0.0,nan,nan
amplitude_change,16,consensus,0.036442425120520476,0.98,0.0,nan,nan
amplitude_change,16,hybrid,0.08587623519400779,1.0,0.0,nan,nan
amplitude_change,17,threshold,0.1245663913092213,1.0,0.0,nan,nan
amplitude_change,17,consensus,0.033758938549525074,1.0,0.0,nan,nan
amplitude_change,17,hybrid,0.08166843999530023,1.0,0.0,nan,nan
amplitude_change,18,threshold,0.17622357012749126,1.0,0.0,nan,nan
amplitude_change,18,consensus,0.04757843269275534,1.0,0.0,nan,nan
amplitude_change,18,hybrid,0.11236938612460833,1.0,0.0,nan,nan
amplitude_change,19,threshold,0.1340625921520115,1.0,0.0,nan,nan
amplitude_change,19,consensus,0.03625439565190264,0.9866666666666667,0.0,nan,nan
amplitude_change,19,hybrid,0.08435810625567752,1.0,0.0,nan,nan
amplitude_change,20,threshold,0.1107268381894163,1.0,0.0,nan,nan
amplitude_change,20,consensus,0.046402374736063026,1.0,0.0,nan,nan
amplitude_change,20,hybrid,0.07692066028749558,1.0,0.0,nan,nan
amplitude_change,21,threshold,0.11685790732529262,1.0,0.0,nan,nan
amplitude_change,21,consensus,0.035668286833708485,0.9933333333333333,0.0,nan,nan
amplitude_change,21,hybrid,0.07674137480033816,1.0,0.0,nan,nan
amplitude_change,22,threshold,0.13202058150528967,1.0,0.0,nan,nan
amplitude_change,22,consensus,0.035077916247521525,1.0,0.0,nan,nan
amplitude_change,22,hybrid,0.08083240499945928,1.0,0.0,nan,nan
amplitude_change,23,threshold,0.1226760489731294,1.0,0.0,nan,nan
amplitude_change,23,consensus,0.04159200298956808,1.0,0.0,nan,nan
amplitude_change,23,hybrid,0.07965379705798063,1.0,0.0,nan,nan
amplitude_change,24,threshold,0.09417031679202632,1.0,0.0,nan,nan
amplitude_change,24,consensus,0.034292395254631035,1.0,0.0,nan,nan
amplitude_change,24,hybrid,0.06854288842631608,1.0,0.0,nan,nan
amplitude_change,25,threshold,0.07839169101391953,1.0,0.0,nan,nan
amplitude_change,25,consensus,0.03360505901640252,1.0,0.0,nan,nan
amplitude_change,25,hybrid,0.05858141037261394,1.0,0.0,nan,nan
